id,extract,author,explorer,vol,place,date,lat,long,wiki
V0029,FROBISHER_2,Dionese Settle,Martin Frobisher,12,Blacke Wall,1577-05-26,51.5063,-0.0034,"https://en.wikipedia.org/wiki/Blackwall,_London"
V0030,FROBISHER_2,Dionese Settle,Martin Frobisher,12,Cathay,,35,103,https://en.wikipedia.org/wiki/Cathay
V0031,FROBISHER_2,Dionese Settle,Martin Frobisher,12,America,,19,-96,https://en.wikipedia.org/wiki/Americas
V0032,FROBISHER_2,Dionese Settle,Martin Frobisher,12,America,,19,-96,https://en.wikipedia.org/wiki/Americas
V0033,FROBISHER_2,Dionese Settle,Martin Frobisher,12,Europe,,49.55373,12.39258,https://en.wikipedia.org/wiki/Europe
V0034,FROBISHER_2,Dionese Settle,Martin Frobisher,12,Asia,,35,103,https://en.wikipedia.org/wiki/Asia
V0035,FROBISHER_2,Dionese Settle,Martin Frobisher,12,Harwich,1577-05-31,51.94458,1.289852,https://en.wikipedia.org/wiki/Harwich
V0036,FROBISHER_2,Dionese Settle,Martin Frobisher,12,Islands called Orcades or vulgarly Orkney,1577-06-07,59,3,https://en.wikipedia.org/wiki/Orkney
V0037,FROBISHER_2,Dionese Settle,Martin Frobisher,12,Scotland,,56.70451,-4.06494,https://en.wikipedia.org/wiki/Scotland
V0038,FROBISHER_2,Dionese Settle,Martin Frobisher,12,England,,52.38901,-0.65918,https://en.wikipedia.org/wiki/England
V0039,FROBISHER_2,Dionese Settle,Martin Frobisher,12,Queenes foreland,1577-07-16,62.383333,-64.466667,
V0040,FROBISHER_2,Dionese Settle,Martin Frobisher,12,Friseland,1577-07-08,60.02095,-43.76953,https://en.wikipedia.org/wiki/Frisland
V0041,FROBISHER_2,Dionese Settle,Martin Frobisher,12,America,,19,-96,
V0042,FROBISHER_2,Dionese Settle,Martin Frobisher,12,Halles Isle,,,,
V0043,FROBISHER_2,Dionese Settle,Martin Frobisher,12,Frobishers streight,,62.833333,-66.583333,https://en.wikipedia.org/wiki/Frobisher_Bay
V0044,FROBISHER_2,Dionese Settle,Martin Frobisher,12,sea of Sur,,12,113,https://en.wikipedia.org/wiki/Four_Seas
V0045,FROBISHER_2,Dionese Settle,Martin Frobisher,12,Iackmans sound,1577-07-20,62.45014,-66.43845,
V0046,FROBISHER_2,Dionese Settle,Martin Frobisher,12,the supposed continent of Asia,,35,103,https://en.wikipedia.org/wiki/Asia
V0047,FROBISHER_2,Dionese Settle,Martin Frobisher,12,America,,19,-96,https://en.wikipedia.org/wiki/Americas
V0048,FROBISHER_2,Dionese Settle,Martin Frobisher,12,Anne Warwickes sound,1577-08-04,62.77609,-65.39886,
V0049,FROBISHER_2,Dionese Settle,Martin Frobisher,12,"an Island both named after the Countesse of Warwicke, Anne Warwickes sound and Isle",1577-08-04,62.78175,-65.47852,
V0050,FROBISHER_2,Dionese Settle,Martin Frobisher,12,the West shore supposed firme with America,1577-08-03,62.76478,-67.19238,https://en.wikipedia.org/wiki/Baffin_Island
V0051,FROBISHER_2,Dionese Settle,Martin Frobisher,12,The Countreys on both sides the streights,1577-08-24,62.89522,-66.84082,https://en.wikipedia.org/wiki/Baffin_Island
V0052,FROBISHER_2,Dionese Settle,Martin Frobisher,12,the lands end of England,1577-09-17,50.068611,-5.716111,https://en.wikipedia.org/wiki/Land's_End
V0053,FROBISHER_2,Dionese Settle,Martin Frobisher,12,Milford Hauen,,51.71418,-5.04274,https://en.wikipedia.org/wiki/Milford_Haven
V0054,FROBISHER_2,Dionese Settle,Martin Frobisher,12,Bristowe,,51.45,-2.583333,https://en.wikipedia.org/wiki/Bristol
V0055,FROBISHER_2,Dionese Settle,Martin Frobisher,12,Scotland,,56.70451,-4.06494,https://en.wikipedia.org/wiki/Scotland
V0056,FROBISHER_2,Dionese Settle,Martin Frobisher,12,Yermouth,,52.6075,1.732778,https://en.wikipedia.org/wiki/Borough_of_Great_Yarmouth
